interaction_id,Interaction_Time,Department,User_Role,user_query,query_category,metrics_requested,analysis_type,bot_response_confidence,response_time_ms,user_feedback_rating,estimated_business_impact,Feedback_Category,Speed_Performance,AI_Success_Flag
INT-100220,29:32.0,Marketing,Manager,Which campaign had highest ROI?,Sales,Conversion Rate,Descriptive,0.8,1285,4,Medium,Positive,Slow,High Performance
INT-100278,20:32.0,Finance,Analyst,Show monthly revenue trend,Finance,Revenue,Predictive,0.7,1155,3,High,Neutral,Slow,High Performance
INT-100297,42:32.0,Finance,Manager,What is customer churn rate?,Revenue,ROI,Predictive,0.9,362,3,nan,Neutral,Fast,High Performance
INT-100305,43:31.9,HR,Analyst,Compare sales performance by region,Marketing,Revenue,Predictive,0.9,1539,3,Medium,Neutral,Slow,High Performance
INT-100351,17:32.0,Marketing,Intern,Compare sales performance by region,Revenue,Revenue,Descriptive,0.9,1677,1,Medium,Negative,Slow,Review Needed
INT-100400,01:31.9,Finance,Executive,What is customer churn rate?,Customer,Churn Rate,Descriptive,1,1512,3,nan,Neutral,Slow,High Performance
INT-100473,06:31.9,Operations,Manager,Show monthly revenue trend,Revenue,Churn Rate,Descriptive,0.6,2047,3,nan,Neutral,Slow,High Performance
INT-100501,09:31.9,Sales,Executive,Compare sales performance by region,Customer,Profit Margin,Descriptive,0.8,2036,2,Medium,Negative,Slow,Review Needed
INT-100521,04:31.9,Sales,Manager,What is customer churn rate?,Sales,ROI,Trend Analysis,0.9,2349,2,Low,Negative,Slow,Review Needed
INT-100545,22:31.9,Operations,Analyst,Which campaign had highest ROI?,Finance,ROI,Predictive,0.8,2011,3,High,Neutral,Slow,High Performance
INT-100577,22:31.9,HR,Analyst,What is customer churn rate?,Finance,Profit Margin,Predictive,0.9,1634,5,Medium,Positive,Slow,High Performance
INT-100658,32:31.9,Sales,Analyst,Compare sales performance by region,Customer,ROI,Descriptive,0.7,1234,4,Medium,Positive,Slow,High Performance
INT-100713,15:31.9,Finance,Analyst,Compare sales performance by region,Sales,ROI,Predictive,0.8,2097,4,Medium,Positive,Slow,High Performance
INT-100728,10:31.9,Finance,Manager,Which campaign had highest ROI?,Revenue,Churn Rate,Descriptive,0.7,2038,5,Medium,Positive,Slow,High Performance
INT-100792,33:31.9,HR,Executive,Which campaign had highest ROI?,Customer,Revenue,Descriptive,0.8,585,3,Medium,Neutral,Fast,High Performance
INT-100821,36:31.9,HR,Analyst,Show monthly revenue trend,Sales,ROI,Descriptive,1,689,2,Low,Negative,Slow,Review Needed
INT-100832,33:31.9,Marketing,Intern,Which campaign had highest ROI?,Customer,Revenue,Descriptive,0.7,1964,2,Low,Negative,Slow,Review Needed
INT-100876,17:31.9,Sales,Executive,What is customer churn rate?,Marketing,Churn Rate,Predictive,0.8,2303,4,Medium,Positive,Slow,High Performance
INT-101088,27:31.9,HR,Manager,Which campaign had highest ROI?,Sales,Conversion Rate,Descriptive,0.9,2223,5,High,Positive,Slow,High Performance
INT-101187,50:31.9,Finance,Analyst,What is customer churn rate?,Revenue,Revenue,Descriptive,0.8,1811,4,Low,Positive,Slow,High Performance
INT-101207,18:31.9,Finance,Analyst,Compare sales performance by region,Marketing,Conversion Rate,Predictive,0.9,2472,5,Low,Positive,Slow,High Performance
